iata_code,airport_name,city,country_code,country_name,airport_type,coordinates
CLM,William R Fairchild International Airport,Port Angeles,US,United States,medium_airport,"48.120201, -123.5"
CLP,Clarks Point Airport,Clarks Point,US,United States,small_airport,"58.833698, -158.529007"
CLR,Cliff Hatfield Memorial Airport,Calipatria,US,United States,small_airport,"33.131500244099996, -115.521003723"
CLS,Chehalis Centralia Airport,Chehalis,US,United States,small_airport,"46.676998, -122.983002"
CLT,Charlotte Douglas International Airport,Charlotte,US,United States,large_airport,"35.2140007019043, -80.94309997558594"
CLU,Columbus Municipal Airport,Columbus,US,United States,medium_airport,"39.262386, -85.895576"
CLW,Clearwater Air Park,Clearwater,US,United States,small_airport,"27.9766998291, -82.7586975098"
CMH,John Glenn Columbus International Airport,Columbus,US,United States,large_airport,"39.998001, -82.891899"
CMI,University of Illinois Willard Airport,Savoy,US,United States,medium_airport,"40.039819, -88.276249"
CMX,Houghton County Memorial Airport,Hancock,US,United States,medium_airport,"47.168399810791016, -88.48909759521484"
CMY,Sparta Fort McCoy Airport,Sparta,US,United States,small_airport,"43.958009, -90.737886"
CNE,Fremont County Airport,Penrose,US,United States,small_airport,"38.429739, -105.108562"
CNH,Claremont Municipal Airport,Claremont,US,United States,small_airport,"43.3703994751, -72.36869812009999"
CNK,Blosser Municipal Airport,Concordia,US,United States,small_airport,"39.549301147499996, -97.6522979736"
CNM,Cavern City Air Terminal,Carlsbad,US,United States,medium_airport,"32.337501525878906, -104.26300048828125"
CNO,Chino Airport,Chino,US,United States,small_airport,"33.97470093, -117.637001"
CNU,Chanute Martin Johnson Airport,Chanute,US,United States,medium_airport,"37.668173, -95.486727"
CNW,TSTC Waco Airport,Waco,US,United States,small_airport,"31.641129, -97.073335"
CNY,Canyonlands Regional Airport,Moab,US,United States,medium_airport,"38.755001, -109.754997"
COA,Columbia Airport,Columbia,US,United States,small_airport,"38.030399322499996, -120.415000916"
COD,Yellowstone Regional Airport,Cody,US,United States,medium_airport,"44.520199, -109.024002"
COE,Coeur D'Alene Airport - Pappy Boyington Field,Coeur d'Alene,US,United States,medium_airport,"47.7743, -116.82"
COF,Patrick Space Force Base,Cocoa Beach,US,United States,medium_airport,"28.2349, -80.6101"
COI,Merritt Island Airport,Merritt Island,US,United States,small_airport,"28.341600418099997, -80.6855010986"
COM,Coleman Municipal Airport,Coleman,US,United States,small_airport,"31.841100692699996, -99.4036026001"
CON,Concord Municipal Airport,Concord,US,United States,medium_airport,"43.20270157, -71.50229645"
COP,Cooperstown-Westville Airport,Cooperstown,US,United States,small_airport,"42.629552, -74.890445"
COS,City of Colorado Springs Municipal Airport,Colorado Springs,US,United States,medium_airport,"38.805801, -104.700996"
COT,Cotulla-La Salle County Airport,Cotulla,US,United States,small_airport,"28.45669937, -99.22029877"
COU,Columbia Regional Airport,Columbia,US,United States,medium_airport,"38.8181, -92.219597"
CPM,Compton Woodley Airport,Compton,US,United States,small_airport,"33.8899993896, -118.244003296"
